Time,GRW1.F,,,GRW2.F,,
s,N,N,N,N,N,N
,X,Y,Z,X,Y,Z
3.35,0.101288,-0.208827,1.26909,9.15425,-19.442,61.0048
3.36,0.209543,0.102439,0.923602,28.5141,-47.5395,193.837
3.37,0.185241,0.144128,0.404765,42.358,-20.4508,332.989
3.38,0.144739,-0.0314656,0.834774,51.0126,50.1821,441.183
3.39,0.405177,0.163896,1.88372,62.0838,126.43,580.47
3.4,0.316506,0.534131,1.88583,72.7088,149.169,789.029
3.41,-0.250279,0.40427,0.746527,57.4552,168.525,945.424
3.42,-0.400681,-0.0146522,0.575264,18.1329,185.381,1019.56
3.43,-0.00890461,0.24761,1.88226,-20.576,183.712,1058.85
3.44,0.208985,0.117261,1.53241,-46.9326,182.267,1071.26
3.45,0.0342587,0.318082,0.577621,-63.845,178.105,1058.96
3.46,0.142848,0.121287,0.663013,-79.5823,168.305,1046.68
3.47,0.292963,0.275039,0.406563,-89.9147,154.905,1045.75
3.48,0.0993157,0.189942,-0.117885,-79.8252,140.863,1034.97
3.49,0.382355,-0.00997132,0.665421,-58.8356,124.683,1015.78
3.5,0.491783,-0.0269876,-0.287206,-43.6593,108.354,982.494
3.51,-0.0294396,0.0101114,1.09676,-32.5232,90.7189,932.073
3.52,0.138956,0.791135,1.80102,-24.4253,78.0922,876.304
3.53,0.142383,0.190848,0.227616,-21.7695,65.8007,818.955
3.54,0.380436,0.226714,1.70823,-24.0469,56.2428,762.704
3.55,0.425526,0.341265,1.01602,-29.7035,50.3257,712.074
3.56,0.143464,0.161892,1.27309,-35.4274,45.9496,668
3.57,0.381654,0.186896,0.842743,-40.7056,43.1349,631.667
3.58,0.443303,0.62575,-0.113036,-42.8851,40.1315,602.268
3.59,0.118241,0.228889,1.2701,-41.1165,36.6692,584.248
3.6,0.314361,0.447592,0.929608,-36.4467,33.4415,573.689
3.61,-0.182835,-0.0112527,1.00595,-30.5661,29.3328,570.489
3.62,0.379923,0.230377,0.579447,-26.5463,27.6581,574.455
3.63,-0.0524172,0.163198,1.44544,-23.596,24.4545,579.339
3.64,0.142846,0.0972915,1.0133,-22.8256,23.3735,586.155
3.65,0.0985155,0.509172,1.8862,-23.6373,19.6738,595.764
3.66,0.142671,-0.0544358,0.661215,-24.8957,16.759,609.576
3.67,-0.0991173,0.399512,1.10173,-26.2895,11.9179,621.253
3.68,0.187748,0.139929,2.31929,-28.5245,9.29616,635.499
3.69,-0.0337154,0.226775,0.405236,-30.6076,6.20712,652.418
3.7,0.0518584,0.497644,-0.378962,-32.0087,1.85388,670.967
3.71,0.141004,0.187103,0.833881,-35.8423,-0.617767,689.719
3.72,0.443671,0.453943,0.495673,-37.7988,-5.81545,708.765
3.73,0.185837,0.124688,1.01126,-41.366,-8.33337,727.604
3.74,0.381322,0.319049,1.18962,-42.3737,-14.6137,743.247
3.75,0.598197,0.298523,0.757228,-43.6925,-21.9464,758.337
3.76,-0.00940507,0.0767578,0.750485,-44.1052,-29.0713,774.229
3.77,0.336589,0.380904,1.27782,-44.189,-37.157,789.323
3.78,-0.0313488,0.0576011,0.487176,-44.6509,-45.9143,806.729
